,country,predicted_suicides_no
0,Antigua and Barbuda,8.215516805648803e-08
1,Argentina,3280.5829697765025
2,Armenia,67.83346679501473
3,Australia,2926.3466080948506
4,Austria,1351.952213024103
5,Belgium,1956.972666891229
6,Belize,26.537448110125066
7,Brazil,11029.598268905364
8,Chile,1839.3955322386362
9,Colombia,2073.174105249172
10,Croatia,689.9115832400063
11,Cuba,1462.7319235910668
12,Cyprus,37.705934519819614
13,Czech Republic,1505.7255032214682
14,Denmark,663.0638077606803
15,Ecuador,774.0567457994504
16,Estonia,233.75487850593922
17,Finland,801.7826462344241
18,Georgia,175.83724268820882
19,Germany,10209.660270141445
20,Greece,541.8849653774398
21,Grenada,-0.049218238447308535
22,Guatemala,480.75236877798255
23,Hungary,1842.9516926659596
24,Iceland,41.151092565439946
25,Israel,456.3903091105616
26,Italy,4115.718706631522
27,Japan,24982.354233282145
28,Kazakhstan,3156.654588819554
29,Kyrgyzstan,504.3673991609693
30,Latvia,396.3790102034593
31,Lithuania,949.7320456547545
32,Luxembourg,59.770062773694406
33,Malta,35.46193303088426
34,Mauritius,120.84046499802172
35,Mexico,6163.510677631158
36,Netherlands,1809.9147066336438
37,Nicaragua,321.0060142465675
38,Norway,554.7426095381801
39,Panama,148.82606826796467
40,Poland,6057.785467183334
41,Puerto Rico,223.2165203320202
42,Qatar,56.12026627843708
43,Republic of Korea,14116.232064760754
44,Romania,2235.9480074196067
45,Russian Federation,27101.12493705005
46,Saint Vincent and Grenadines,1.9774601164054872
47,Serbia,1116.0265103906681
48,Seychelles,9.179351339435579
49,Singapore,394.8243347082688
50,Slovenia,389.0761229843029
51,South Africa,586.8989532441757
52,Spain,3936.9184982717643
53,Sweden,1197.9764247604824
54,Switzerland,1057.0873764307844
55,Thailand,3994.368869507973
56,Turkey,1679.5888869207781
57,Turkmenistan,133.42592648044644
58,Ukraine,7892.0449704699995
59,United Kingdom,4823.484084959836
60,United States,43138.83686051775
61,Uruguay,581.9784061029817
